passage,criticalsign
9.236,diple
9.241,diple
9.242,diple
9.246,diple
9.254,diple
9.261,diple
9.262,diple
9.271,diple
9.297,diple
9.313,diple
9.325,diple
9.327,diple
9.338,diple
9.347,diple
9.354,diple
9.364,diple
9.367,diple
9.378,diple
9.383,diple
9.385,diple
9.392,diple
9.395,diple
9.401,diple
9.404,diple
9.405,dotteddiple
9.416,obelos
9.419,diple
9.446,diple
9.447,diple
9.455,diple
9.456,diple
9.457,diple
9.473,diple
9.475,diple
9.478,diple
9.481,diple
9.505,diple
9.506,dotteddiple
9.509,diple
9.520,diple
9.527,diple
9.528,diple
9.531,diple
9.537,dotteddiple
9.540,diple
9.541,diple
9.542,diple
9.546,diple
9.554,diple
9.562,diple
9.567,diple
9.568,diple
9.569,diple
9.571,diple
9.575,diple
9.578,diple
9.586,diple
9.593,diple
9.594,diple
9.598,diple
9.605,diple
9.607,diple
9.612,dotteddiple
9.616,diple
9.619,diple
9.621,diple
9.622,diple
9.625,diple
9.632,diple
9.638,diple
9.641,dotteddiple
9.653,diple
9.656,diple
9.657,diple
9.664,dotteddiple
9.668,diple
9.680,diple
9.682,diple
9.685,diple
9.686,diple
9.688,obelos
9.689,obelos
9.690,obelos
9.691,obelos
9.692,obelos
9.694,asteriskos
9.694,obelos
9.698,diple
9.699,diple
9.709,diple
10.5,diple
10.7,diple
10.10,diple
10.23,diple
10.30,diple
10.37,diple
10.38,diple
10.44,diple
10.45,diple
10.51,obelos
10.52,obelos
10.53,diple
10.65,diple
10.68,diple
10.75,diple
10.77,diple
10.84,obelos
10.91,diple
10.98,dotteddiple
10.110,diple
10.116,diple
10.117,diple
10.118,diple
10.120,diple
10.140,diple
10.158,asteriskos
10.164,diple
10.167,diple
10.175,diple
10.187,diple
10.188,diple
10.189,diple
10.195,diple
10.204,diple
10.208,asteriskos
10.209,asteriskos
10.210,asteriskos
10.216,diple
10.224,diple
10.225,diple
10.226,diple
10.231,diple
10.240,obelos
10.240,diple
10.242,diple
10.252,diple
10.253,obelos
10.258,diple
10.262,diple
10.265,diple
10.266,diple
10.268,diple
10.277,diple
10.281,diple
10.282,diple
10.286,diple
10.298,diple
10.299,diple
10.317,dotteddiple
10.322,diple
10.326,diple
10.330,diple
10.332,diple
10.335,diple
10.338,diple
10.343,asteriskos
10.347,diple
10.351,diple
10.353,diple
10.354,diple
10.356,diple
10.361,diple
10.372,diple
10.375,diple
10.378,diple
10.381,diple
10.383,diple
10.387,asteriskos
10.387,obelos
10.397,obelos
10.398,diple
10.398,obelos
10.399,obelos
10.408,diple
10.409,asteriskos
10.409,obelos
10.410,asteriskos
10.410,obelos
10.411,asteriskos
10.411,obelos
10.428,diple
10.430,diple
10.445,diple
10.447,diple
10.458,diple
10.461,diple
10.466,diple
10.469,diple
10.470,diple
10.473,diple
10.475,diple
10.476,diple
10.478,diple
10.480,diple
10.485,diple
10.486,diple
10.488,diple
10.490,diple
10.495,diple
10.497,obelos
10.505,diple
10.515,diple
10.520,diple
10.528,diple
10.545,dotteddiple
10.546,dotteddiple
10.559,diple
10.561,diple
10.570,diple
10.571,diple
10.573,diple
10.574,diple
10.578,diple
10.579,diple
11.4,diple
11.11,diple
11.13,asteriskos
11.13,obelos
11.14,asteriskos
11.14,obelos
11.17,diple
11.21,diple
11.22,diple
11.27,diple
11.30,diple
11.32,diple
11.41,diple
11.43,diple
11.44,diple
11.45,diple
11.46,diple
11.49,diple
11.51,diple
11.52,diple
11.54,diple
11.55,diple
11.56,diple
11.62,diple
11.65,diple
11.68,diple
11.71,diple
11.72,diple
11.75,diple
11.78,obelos
11.79,obelos
11.80,obelos
11.81,obelos
11.82,obelos
11.83,obelos
11.86,diple
11.93,diple
11.94,diple
11.96,diple
11.97,diple
11.100,diple
11.101,diple
11.104,dotteddiple
11.106,diple
11.109,diple
11.111,diple
11.116,diple
11.121,diple
11.124,diple
11.128,diple
11.130,diple
11.140,diple
11.142,dotteddiple
11.144,diple
11.147,diple
11.155,diple
11.163,diple
11.166,diple
11.173,diple
11.178,diple
11.179,asteriskos
11.179,obelos
11.180,asteriskos
11.180,obelos
11.183,diple
11.191,diple
11.192,diple
11.196,diple
11.217,diple
11.221,diple
11.226,diple
11.234,diple
11.244,diple
11.252,diple
11.262,diple
11.266,diple
11.270,diple
11.281,diple
11.297,diple
11.302,diple
11.306,diple
11.307,diple
11.314,diple
11.319,diple
11.326,diple
11.328,diple
11.333,diple
11.350,diple
11.354,diple
11.355,diple
11.356,asteriskos
11.356,obelos
11.364,diple
11.368,dotteddiple
11.376,diple
11.385,diple
11.387,diple
11.390,diple
11.402,diple
11.404,diple
11.405,diple
11.409,diple
11.413,dotteddiple
11.422,diple
11.424,diple
11.430,diple
11.432,diple
11.456,diple
11.458,dotteddiple
11.462,diple
11.480,dotteddiple
11.492,diple
11.494,diple
11.502,diple
11.506,diple
11.515,obelos
11.523,diple
11.528,dotteddiple
11.544,diple
11.545,diple
11.548,dotteddiple
11.557,diple
11.559,diple
11.562,diple
11.568,diple
11.572,diple
11.574,diple
11.583,diple
11.589,diple
11.600,diple
11.601,diple
11.604,diple
11.606,diple
11.612,diple
11.620,diple
11.621,diple
11.622,diple
11.630,diple
11.632,diple
11.635,diple
11.636,diple
11.650,diple
11.659,diple
11.667,diple
11.683,diple
11.688,diple
11.689,diple
11.692,diple
11.694,diple
11.697,diple
11.699,diple
11.705,asteriskos
11.705,obelos
11.709,diple
11.711,diple
11.730,dotteddiple
11.734,diple
11.735,diple
11.737,diple
11.747,diple
11.750,diple
11.751,diple
11.752,diple
11.754,diple
11.759,diple
11.767,obelos
11.768,obelos
11.769,obelos
11.770,obelos
11.771,obelos
11.772,obelos
11.773,obelos
11.774,obelos
11.775,obelos
11.776,obelos
11.777,obelos
11.778,obelos
11.779,obelos
11.780,obelos
11.781,obelos
11.782,dotteddiple
11.782,obelos
11.783,obelos
11.784,obelos
11.785,obelos
11.786,diple
11.794,dotteddiple
11.795,dotteddiple
11.802,obelos
11.802,asteriskos
11.803,obelos
11.803,asteriskos
11.807,diple
11.817,diple
11.824,diple
11.832,diple
11.834,diple
11.841,diple
11.844,diple
12.17,diple
12.22,diple
12.34,dotteddiple
12.36,diple
12.46,diple
12.56,diple
12.66,diple
12.77,diple
12.93,diple
12.96,diple
12.97,diple
12.105,diple
12.107,diple
12.115,diple
12.118,diple
12.120,diple
12.121,diple
12.137,diple
12.139,diple
12.140,diple
12.144,diple
12.155,diple
12.159,diple
12.175,obelos
12.176,obelos
12.177,obelos
12.178,obelos
12.179,obelos
12.180,obelos
12.193,diple
12.201,diple
12.207,diple
12.210,diple
12.211,diple
12.213,diple
12.216,diple
12.228,diple
12.230,dotteddiple
12.239,diple
12.253,diple
12.254,diple
12.258,diple
12.261,diple
12.280,diple
12.285,diple
12.291,diple
12.301,diple
12.303,diple
12.328,diple
12.329,diple
12.335,diple
12.336,diple
12.346,dotteddiple
12.348,dotteddiple
12.349,diple
12.350,obelos
12.359,dotteddiple
12.363,obelos
12.365,dotteddiple
12.366,dotteddiple
12.368,dotteddiple
12.371,obelos
12.375,diple
12.394,diple
12.400,diple
12.401,diple
12.416,diple
12.426,diple
12.431,diple
12.442,dotteddiple
12.444,diple
12.450,obelos
12.455,diple
12.456,diple
12.458,diple
12.463,diple
12.468,diple
12.469,diple
12.470,diple
13.1,asteriskos
13.1,diple
13.10,dotteddiple
13.11,diple
13.12,diple
13.16,diple
13.21,diple
13.25,diple
13.28,diple
13.29,diple
13.41,diple
13.45,diple
13.49,diple
13.60,diple
13.61,asteriskos
13.64,diple
13.66,diple
13.68,dotteddiple
13.82,diple
13.85,diple
13.103,diple
13.110,diple
13.115,diple
13.127,diple
13.147,diple
13.148,dotteddiple
13.159,diple
13.165,diple
13.166,diple
13.172,dotteddiple
13.197,diple
13.203,diple
13.213,diple
13.217,diple
13.222,diple
13.223,diple
13.226,diple
13.236,diple
13.252,diple
13.257,diple
13.275,diple
13.276,diple
13.287,diple
13.288,diple
13.292,diple
13.295,diple
13.299,diple
13.306,diple
13.315,dotteddiple
13.317,diple
13.326,diple
13.327,diple
13.343,diple
13.344,diple
13.346,diple
13.350,obelos
13.359,diple
13.365,diple
13.366,diple
13.372,diple
13.382,diple
13.403,diple
13.408,diple
13.415,diple
13.420,diple
