urn	text	signs
urn:cts:greekLit:tlg5026.msA.hmt:1.659	1.234	
urn:cts:greekLit:tlg5026.msA.hmt:1.659	1.234	
urn:cts:greekLit:tlg5026.msA.hmt:1.660	1.234-1.240	
urn:cts:greekLit:tlg5026.msA.hmt:1.660	1.234-1.240	
urn:cts:greekLit:tlg5026.msA.hmt:1.661	1.234-1.240	
urn:cts:greekLit:tlg5026.msA.hmt:1.661	1.234-1.240	
urn:cts:greekLit:tlg5026.msA.hmt:1.662	1.239	
urn:cts:greekLit:tlg5026.msA.hmt:1.662	1.239	
urn:cts:greekLit:tlg5026.msA.hmt:1.663	1.244	
urn:cts:greekLit:tlg5026.msA.hmt:1.663	1.244	
urn:cts:greekLit:tlg5026.msA.hmt:1.664	1.244	
urn:cts:greekLit:tlg5026.msA.hmt:1.665	1.249	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.665	1.249	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.666	1.249	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.666	1.249	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.667	1.250	
urn:cts:greekLit:tlg5026.msA.hmt:1.667	1.250	
urn:cts:greekLit:tlg5026.msA.hmt:1.668	1.250	
urn:cts:greekLit:tlg5026.msA.hmt:1.668	1.250	
urn:cts:greekLit:tlg5026.msA.hmt:1.720	1.251	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.720	1.251	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.721	1.252	
urn:cts:greekLit:tlg5026.msA.hmt:1.721	1.252	
urn:cts:greekLit:tlg5026.msA.hmt:1.722	1.255-1.258	
urn:cts:greekLit:tlg5026.msA.hmt:1.722	1.255-1.258	
urn:cts:greekLit:tlg5026.msA.hmt:1.723	1.258	
urn:cts:greekLit:tlg5026.msA.hmt:1.723	1.258	
urn:cts:greekLit:tlg5026.msA.hmt:1.724	1.260	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.724	1.260	dotteddiple
